S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
529084	529165	985047	984966	NC_000964.3_NC_000964.3	NODE_2_length_1055207_cov_475.261049	100.0		False
4176689	4176847	1001024	1001184	NC_000964.3_NC_000964.3	NODE_2_length_1055207_cov_475.261049	93.17		False
4178066	4178184	1001525	1001643	NC_000964.3_NC_000964.3	NODE_2_length_1055207_cov_475.261049	97.48		False
4171188	4171348	1006525	1006683	NC_000964.3_NC_000964.3	NODE_2_length_1055207_cov_475.261049	93.17		False
4171689	4171807	1007902	1008020	NC_000964.3_NC_000964.3	NODE_2_length_1055207_cov_475.261049	97.48		False
4191180	4191370	1019224	1019417	NC_000964.3_NC_000964.3	NODE_2_length_1055207_cov_475.261049	93.81		False
4189388	4189581	1021016	1021206	NC_000964.3_NC_000964.3	NODE_2_length_1055207_cov_475.261049	93.81		False
160809	160891	1055105	1055187	NC_000964.3_NC_000964.3	NODE_2_length_1055207_cov_475.261049	100.0		False
166415	166498	1055105	1055187	NC_000964.3_NC_000964.3	NODE_2_length_1055207_cov_475.261049	97.62		False
96307	96390	1055105	1055187	NC_000964.3_NC_000964.3	NODE_2_length_1055207_cov_475.261049	97.62		False
90451	90534	1055105	1055187	NC_000964.3_NC_000964.3	NODE_2_length_1055207_cov_475.261049	97.62		False
171413	171496	1055105	1055187	NC_000964.3_NC_000964.3	NODE_2_length_1055207_cov_475.261049	97.62		False
30188	30277	1055098	1055187	NC_000964.3_NC_000964.3	NODE_2_length_1055207_cov_475.261049	98.89		False
946547	946651	1055105	1055207	NC_000964.3_NC_000964.3	NODE_2_length_1055207_cov_475.261049	97.14		False
3178685	3178788	1055207	1055105	NC_000964.3_NC_000964.3	NODE_2_length_1055207_cov_475.261049	97.12		False
635285	635388	1055105	1055207	NC_000964.3_NC_000964.3	NODE_2_length_1055207_cov_475.261049	96.15		False
3178740	3238901	1	60162	NC_000964.3_NC_000964.3	NODE_2_length_1055207_cov_475.261049	100.0		True
relocation, inconsistency = -8564
3230338	4215606	60163	1045442	NC_000964.3_NC_000964.3	NODE_2_length_1055207_cov_475.261049	99.99		True
fake: not a misassembly [linear representation of circular genome]
1	9765	1045443	1055207	NC_000964.3_NC_000964.3	NODE_2_length_1055207_cov_475.261049	100.0		True
CONTIG	NODE_2_length_1055207_cov_475.261049	1055207	misassembled
1651135	1978494	327410	52	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_3_length_327461_cov_94.838772	100.0		True
CONTIG	NODE_3_length_327461_cov_94.838772	327461	correct
640200	946594	1	306395	NC_000964.3_NC_000964.3	NODE_4_length_306395_cov_514.935004	100.0		True
CONTIG	NODE_4_length_306395_cov_514.935004	306395	correct
781390	1031950	1	250561	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_5_length_271084_cov_72.281490	100.0		True
relocation, inconsistency = -2591
1029360	1049882	250562	271084	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_5_length_271084_cov_72.281490	100.0		True
CONTIG	NODE_5_length_271084_cov_72.281490	271084	misassembled
397216	635471	238258	1	NC_000964.3_NC_000964.3	NODE_6_length_238258_cov_544.336667	100.0		True
CONTIG	NODE_6_length_238258_cov_544.336667	238258	correct
2947495	2996413	48919	1	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_7_length_226659_cov_80.666573	99.99		True
local misassembly
2921451	2947384	74853	48920	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_7_length_226659_cov_80.666573	100.0		True
relocation, inconsistency = -3139
2908558	2924589	90885	74854	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_7_length_226659_cov_80.666573	100.0		True
relocation, inconsistency = -2729
2862788	2911286	139384	90886	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_7_length_226659_cov_80.666573	100.0		True
relocation, inconsistency = -1185
2818197	2863972	185160	139385	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_7_length_226659_cov_80.666573	99.96		True
local misassembly
2776559	2818057	226659	185161	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_7_length_226659_cov_80.666573	99.99		True
CONTIG	NODE_7_length_226659_cov_80.666573	226659	misassembled
176276	260306	1	84034	NC_000964.3_NC_000964.3	NODE_8_length_208097_cov_611.023889	99.99		True
local misassembly
260517	384581	84035	208097	NC_000964.3_NC_000964.3	NODE_8_length_208097_cov_611.023889	100.0		True
CONTIG	NODE_8_length_208097_cov_611.023889	208097	correct
4326033	4498234	1	172203	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_9_length_172203_cov_80.120147	100.0		True
CONTIG	NODE_9_length_172203_cov_80.120147	172203	correct
2662584	2692072	29543	55	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_10_length_171185_cov_64.219038	99.98		True
local misassembly
2571671	2662492	120365	29544	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_10_length_171185_cov_64.219038	100.0		True
local misassembly
2521473	2572292	171185	120366	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_10_length_171185_cov_64.219038	100.0		True
CONTIG	NODE_10_length_171185_cov_64.219038	171185	correct
4508627	4521951	1	13325	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_11_length_150001_cov_85.109586	100.0		True
relocation, inconsistency = -1534
4520418	4641652	13326	134560	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_11_length_150001_cov_85.109586	100.0		True
fake: not a misassembly [linear representation of circular genome]
1	15441	134561	150001	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_11_length_150001_cov_85.109586	100.0		True
CONTIG	NODE_11_length_150001_cov_85.109586	150001	misassembled
20510	168579	1	148070	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_12_length_148124_cov_52.841486	100.0		True
CONTIG	NODE_12_length_148124_cov_52.841486	148124	correct
3765775	3899907	1	134133	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_13_length_143836_cov_94.555282	99.99		True
relocation, inconsistency = -2780
3897128	3906779	134134	143785	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_13_length_143836_cov_94.555282	100.0		True
CONTIG	NODE_13_length_143836_cov_94.555282	143836	misassembled
392918	525784	1	132867	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_14_length_132867_cov_63.604320	100.0		True
CONTIG	NODE_14_length_132867_cov_63.604320	132867	correct
2997640	3130195	1	132556	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_15_length_132556_cov_67.684153	100.0		True
CONTIG	NODE_15_length_132556_cov_67.684153	132556	correct
2197253	2288970	91718	1	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_16_length_118658_cov_109.966097	100.0		True
relocation, inconsistency = -1063
2171374	2198315	118658	91719	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_16_length_118658_cov_109.966097	99.99		True
CONTIG	NODE_16_length_118658_cov_109.966097	118658	misassembled
2290059	2304399	1	14341	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_17_length_116670_cov_77.175123	99.91		True
local misassembly
2304513	2406788	14342	116617	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_17_length_116670_cov_77.175123	99.99		True
CONTIG	NODE_17_length_116670_cov_77.175123	116670	correct
3579216	3583481	4266	1	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_18_length_114646_cov_62.079570	100.0		True
relocation, inconsistency = -2303
3471140	3581518	114646	4267	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_18_length_114646_cov_62.079570	100.0		True
CONTIG	NODE_18_length_114646_cov_62.079570	114646	misassembled
4213112	4243408	1	30297	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_19_length_114111_cov_66.061645	100.0		True
relocation, inconsistency = -1437
4241972	4296322	30298	84648	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_19_length_114111_cov_66.061645	99.98		True
local misassembly
4296434	4325896	84649	114111	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_19_length_114111_cov_66.061645	99.97		True
CONTIG	NODE_19_length_114111_cov_66.061645	114111	misassembled
1287243	1299494	1	12252	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_20_length_107653_cov_80.837887	100.0		True
relocation, inconsistency = 1199
1300694	1396094	12253	107653	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_20_length_107653_cov_80.837887	100.0		True
CONTIG	NODE_20_length_107653_cov_80.837887	107653	misassembled
2406780	2514327	53	107600	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_21_length_107600_cov_92.719689	100.0		True
CONTIG	NODE_21_length_107600_cov_92.719689	107600	correct
1105375	1207805	102470	40	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_22_length_102523_cov_76.229945	100.0		True
CONTIG	NODE_22_length_102523_cov_76.229945	102523	correct
3269995	3365606	95612	1	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_23_length_102016_cov_63.030384	100.0		True
local misassembly
3263529	3269881	101965	95613	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_23_length_102016_cov_63.030384	99.98		True
CONTIG	NODE_23_length_102016_cov_63.030384	102016	correct
3946895	4035219	88325	1	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_24_length_88325_cov_60.835924	100.0		True
CONTIG	NODE_24_length_88325_cov_60.835924	88325	correct
999717	1035080	35387	23	GCF_000006765.1_ASM676v1_genomic_NC_002516.2	NODE_25_length_85618_cov_4.533373	99.66		True
relocation, inconsistency = -38971
991654	999724	82441	74351	GCF_000006765.1_ASM676v1_genomic_NC_002516.2	NODE_25_length_85618_cov_4.533373	98.75		True
local misassembly
988292	991465	85615	82442	GCF_000006765.1_ASM676v1_genomic_NC_002516.2	NODE_25_length_85618_cov_4.533373	99.91		True
CONTIG	NODE_25_length_85618_cov_4.533373	85618	misassembled
4094719	4123928	29260	51	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_26_length_83141_cov_84.300339	100.0		True
local misassembly
4040746	4094626	83141	29261	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_26_length_83141_cov_84.300339	99.99		True
CONTIG	NODE_26_length_83141_cov_84.300339	83141	correct
609297	687900	78604	1	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_27_length_78604_cov_76.814765	100.0		True
CONTIG	NODE_27_length_78604_cov_76.814765	78604	correct
3667382	3689336	1	21921	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_28_length_76036_cov_85.254735	99.85		True
local misassembly
3688736	3736431	21922	69617	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_28_length_76036_cov_85.254735	100.0		True
relocation, inconsistency = -5656
3730776	3737141	69618	75983	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_28_length_76036_cov_85.254735	100.0		True
CONTIG	NODE_28_length_76036_cov_85.254735	76036	misassembled
1060354	1061197	148	980	GCF_000006765.1_ASM676v1_genomic_NC_002516.2	NODE_29_length_74849_cov_14.710017	92.79		True
unknown
1062435	1064232	12237	14036	GCF_000006765.1_ASM676v1_genomic_NC_002516.2	NODE_29_length_74849_cov_14.710017	97.72		True
unknown
1064259	1065080	17875	18695	GCF_000006765.1_ASM676v1_genomic_NC_002516.2	NODE_29_length_74849_cov_14.710017	92.1		True
unknown
1065390	1065785	62372	62767	GCF_000006765.1_ASM676v1_genomic_NC_002516.2	NODE_29_length_74849_cov_14.710017	94.7		True
unknown
CONTIG	NODE_29_length_74849_cov_14.710017	74849	mis_unaligned
1994927	2066230	1	71304	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_30_length_71304_cov_123.064211	100.0		True
CONTIG	NODE_30_length_71304_cov_123.064211	71304	correct
1096940	1106566	9638	1	GCF_000006765.1_ASM676v1_genomic_NC_002516.2	NODE_31_length_69360_cov_6.362023	98.66		True
relocation, inconsistency = -6821
1069361	1096956	44019	16443	GCF_000006765.1_ASM676v1_genomic_NC_002516.2	NODE_31_length_69360_cov_6.362023	98.94		True
relocation, inconsistency = 8950
1035089	1060410	69360	44020	GCF_000006765.1_ASM676v1_genomic_NC_002516.2	NODE_31_length_69360_cov_6.362023	99.2		True
CONTIG	NODE_31_length_69360_cov_6.362023	69360	misassembled
2102894	2126827	1	23934	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_32_length_68003_cov_86.204966	100.0		True
local misassembly
2126155	2170223	23935	68003	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_32_length_68003_cov_86.204966	100.0		True
CONTIG	NODE_32_length_68003_cov_86.204966	68003	correct
1571847	1577846	1	6000	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_33_length_64069_cov_128.098150	100.0		True
relocation, inconsistency = -3301
1574546	1632614	6001	64069	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_33_length_64069_cov_128.098150	100.0		True
CONTIG	NODE_33_length_64069_cov_128.098150	64069	misassembled
1209603	1269424	59822	1	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_34_length_59822_cov_121.991534	99.99		True
CONTIG	NODE_34_length_59822_cov_121.991534	59822	correct
101190	160863	1	59674	NC_000964.3_NC_000964.3	NODE_35_length_59674_cov_271.319395	100.0		True
CONTIG	NODE_35_length_59674_cov_271.319395	59674	correct
1470462	1528238	1	57777	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_36_length_57777_cov_129.718669	100.0		True
CONTIG	NODE_36_length_57777_cov_129.718669	57777	correct
3366701	3423716	1	57016	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_37_length_57016_cov_79.504521	99.99		True
CONTIG	NODE_37_length_57016_cov_79.504521	57016	correct
35314	90554	1	55241	NC_000964.3_NC_000964.3	NODE_38_length_55241_cov_374.594426	100.0		True
CONTIG	NODE_38_length_55241_cov_374.594426	55241	correct
3131292	3186146	1	54855	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_39_length_54855_cov_62.628157	100.0		True
CONTIG	NODE_39_length_54855_cov_62.628157	54855	correct
169624	223519	53896	1	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_40_length_53896_cov_47.855055	100.0		True
CONTIG	NODE_40_length_53896_cov_47.855055	53896	correct
4309916	4310819	6347	5444	GCF_000006765.1_ASM676v1_genomic_NC_002516.2	NODE_41_length_52244_cov_5.074709	99.23		True
relocation, inconsistency = -786090
5072399	5086973	29894	15380	GCF_000006765.1_ASM676v1_genomic_NC_002516.2	NODE_41_length_52244_cov_5.074709	98.55		True
relocation, inconsistency = -1450
5055626	5069017	48117	34726	GCF_000006765.1_ASM676v1_genomic_NC_002516.2	NODE_41_length_52244_cov_5.074709	99.25		True
local misassembly
5051785	5053630	51990	50152	GCF_000006765.1_ASM676v1_genomic_NC_002516.2	NODE_41_length_52244_cov_5.074709	98.7		True
local misassembly
5051440	5051693	52244	51991	GCF_000006765.1_ASM676v1_genomic_NC_002516.2	NODE_41_length_52244_cov_5.074709	100.0		True
CONTIG	NODE_41_length_52244_cov_5.074709	52244	misassembled
2940921	2947641	50275	43555	GCF_000006765.1_ASM676v1_genomic_NC_002516.2	NODE_42_length_50275_cov_4.748765	99.63		True
CONTIG	NODE_42_length_50275_cov_4.748765	50275	correct_unaligned
CONTIG	NODE_43_length_48855_cov_11.407172	48855	unaligned
3214896	3263537	48696	55	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_44_length_48696_cov_70.528196	100.0		True
CONTIG	NODE_44_length_48696_cov_70.528196	48696	correct
5230261	5231933	1	1654	GCF_000006765.1_ASM676v1_genomic_NC_002516.2	NODE_45_length_48551_cov_3.389042	97.85		True
unknown
5232095	5241843	1653	11401	GCF_000006765.1_ASM676v1_genomic_NC_002516.2	NODE_45_length_48551_cov_3.389042	99.73		True
unknown
5241836	5250283	40105	48551	GCF_000006765.1_ASM676v1_genomic_NC_002516.2	NODE_45_length_48551_cov_3.389042	99.64		True
unknown
CONTIG	NODE_45_length_48551_cov_3.389042	48551	mis_unaligned
5798591	5819343	20756	1	GCF_000006765.1_ASM676v1_genomic_NC_002516.2	NODE_46_length_48474_cov_11.223363	99.5		True
relocation, inconsistency = -13827
5784700	5798637	48474	34537	GCF_000006765.1_ASM676v1_genomic_NC_002516.2	NODE_46_length_48474_cov_11.223363	99.76		True
CONTIG	NODE_46_length_48474_cov_11.223363	48474	misassembled
2947618	2988224	3621	44219	GCF_000006765.1_ASM676v1_genomic_NC_002516.2	NODE_47_length_48058_cov_2.596713	99.68		True
local misassembly
2988352	2992190	44220	48058	GCF_000006765.1_ASM676v1_genomic_NC_002516.2	NODE_47_length_48058_cov_2.596713	99.79		True
CONTIG	NODE_47_length_48058_cov_2.596713	48058	correct
736302	780608	163	44471	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_48_length_44471_cov_75.522875	99.79		True
CONTIG	NODE_48_length_44471_cov_75.522875	44471	correct
658201	669161	10949	1	GCF_000006765.1_ASM676v1_genomic_NC_002516.2	NODE_49_length_44305_cov_3.199367	99.52		True
local misassembly
656594	658102	12458	10950	GCF_000006765.1_ASM676v1_genomic_NC_002516.2	NODE_49_length_44305_cov_3.199367	99.74		True
relocation, inconsistency = -2990
655203	656593	16839	15449	GCF_000006765.1_ASM676v1_genomic_NC_002516.2	NODE_49_length_44305_cov_3.199367	98.63		True
local misassembly
630516	654090	41487	17970	GCF_000006765.1_ASM676v1_genomic_NC_002516.2	NODE_49_length_44305_cov_3.199367	99.12		True
CONTIG	NODE_49_length_44305_cov_3.199367	44305	misassembled
1050495	1094298	43804	1	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_50_length_43804_cov_90.180850	100.0		True
CONTIG	NODE_50_length_43804_cov_90.180850	43804	correct
4270543	4281752	1	11210	GCF_000006765.1_ASM676v1_genomic_NC_002516.2	NODE_51_length_43154_cov_8.364602	99.71		True
relocation, inconsistency = -3996
4281739	4309694	15193	43154	GCF_000006765.1_ASM676v1_genomic_NC_002516.2	NODE_51_length_43154_cov_8.364602	99.31		True
CONTIG	NODE_51_length_43154_cov_8.364602	43154	misassembled
4123922	4166353	51	42482	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_52_length_42482_cov_45.149527	100.0		True
CONTIG	NODE_52_length_42482_cov_45.149527	42482	correct
1529120	1570724	41605	1	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_53_length_41605_cov_109.532178	99.99		True
CONTIG	NODE_53_length_41605_cov_109.532178	41605	correct
3428940	3470218	1	41279	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_54_length_41279_cov_72.507544	100.0		True
CONTIG	NODE_54_length_41279_cov_72.507544	41279	correct
617125	628414	35442	24153	GCF_000006765.1_ASM676v1_genomic_NC_002516.2	NODE_55_length_40726_cov_7.838337	99.32		True
unknown
612829	616914	39513	35442	GCF_000006765.1_ASM676v1_genomic_NC_002516.2	NODE_55_length_40726_cov_7.838337	99.02		True
unknown
611477	612692	40726	39511	GCF_000006765.1_ASM676v1_genomic_NC_002516.2	NODE_55_length_40726_cov_7.838337	99.51		True
unknown
CONTIG	NODE_55_length_40726_cov_7.838337	40726	mis_unaligned
688997	729566	1	40570	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_56_length_40570_cov_49.463310	100.0		True
CONTIG	NODE_56_length_40570_cov_49.463310	40570	correct
526666	566825	40160	1	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_57_length_40160_cov_98.310610	100.0		True
CONTIG	NODE_57_length_40160_cov_98.310610	40160	correct
5101243	5126566	25313	1	GCF_000006765.1_ASM676v1_genomic_NC_002516.2	NODE_58_length_39450_cov_3.325270	99.17		True
local misassembly
5087121	5100864	39450	25707	GCF_000006765.1_ASM676v1_genomic_NC_002516.2	NODE_58_length_39450_cov_3.325270	99.67		True
CONTIG	NODE_58_length_39450_cov_3.325270	39450	correct
2731431	2734768	1	3338	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_59_length_36649_cov_79.246461	100.0		True
relocation, inconsistency = -1237
2733532	2766842	3339	36649	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_59_length_36649_cov_79.246461	100.0		True
CONTIG	NODE_59_length_36649_cov_79.246461	36649	misassembled
3628730	3652084	23355	1	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_60_length_36551_cov_89.929938	100.0		True
relocation, inconsistency = -9889
3625423	3638618	36551	23356	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_60_length_36551_cov_89.929938	100.0		True
CONTIG	NODE_60_length_36551_cov_89.929938	36551	misassembled
340052	340619	35606	35039	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_61_length_35778_cov_61.671472	100.0		False
339756	339930	35716	35543	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_61_length_35778_cov_61.671472	96.57		False
339973	340051	35778	35700	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_61_length_35778_cov_61.671472	93.67		False
339787	340023	35778	35543	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_61_length_35778_cov_61.671472	96.2		False
340104	375142	35039	1	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_61_length_35778_cov_61.671472	100.0		True
local misassembly
339880	340618	35778	35040	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_61_length_35778_cov_61.671472	100.0		True
CONTIG	NODE_61_length_35778_cov_61.671472	35778	correct
1443015	1467963	24949	1	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_62_length_35493_cov_82.668125	99.97		True
relocation, inconsistency = -2211
1434682	1445225	35493	24950	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_62_length_35493_cov_82.668125	100.0		True
CONTIG	NODE_62_length_35493_cov_82.668125	35493	misassembled
3584145	3619327	1	35183	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_63_length_35183_cov_64.956957	100.0		True
CONTIG	NODE_63_length_35183_cov_64.956957	35183	correct
1397189	1432328	35140	1	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_64_length_35140_cov_153.842611	99.99		True
CONTIG	NODE_64_length_35140_cov_153.842611	35140	correct
2692018	2726116	34099	1	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_65_length_34099_cov_62.300464	100.0		True
CONTIG	NODE_65_length_34099_cov_62.300464	34099	correct
258684	262803	4120	1	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_66_length_33077_cov_102.927563	100.0		True
local misassembly
228951	257907	33077	4121	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_66_length_33077_cov_102.927563	99.98		True
CONTIG	NODE_66_length_33077_cov_102.927563	33077	correct
2894990	2927885	32894	1	GCF_000006765.1_ASM676v1_genomic_NC_002516.2	NODE_67_length_32894_cov_2.884436	99.57		True
CONTIG	NODE_67_length_32894_cov_2.884436	32894	correct
575736	608061	1	32326	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_68_length_32326_cov_96.948096	99.91		True
CONTIG	NODE_68_length_32326_cov_96.948096	32326	correct
2070219	2101799	31581	1	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_69_length_31581_cov_106.256677	100.0		True
CONTIG	NODE_69_length_31581_cov_106.256677	31581	correct
3524011	3526477	1	2467	GCF_000006765.1_ASM676v1_genomic_NC_002516.2	NODE_70_length_31081_cov_30.639077	99.39		True
relocation, inconsistency = 7647
3547689	3562731	16032	31081	GCF_000006765.1_ASM676v1_genomic_NC_002516.2	NODE_70_length_31081_cov_30.639077	99.37		True
CONTIG	NODE_70_length_31081_cov_30.639077	31081	misassembled
786493	817455	30963	1	Kocuria_rhizophila_ATCC_9341_NC_010617.1	NODE_71_length_30963_cov_5.020901	100.0		True
CONTIG	NODE_71_length_30963_cov_5.020901	30963	correct
4173081	4204028	1	30920	GCF_000006765.1_ASM676v1_genomic_NC_002516.2	NODE_72_length_30940_cov_2.675959	99.7		True
CONTIG	NODE_72_length_30940_cov_2.675959	30940	correct
4177055	4207897	30843	1	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_73_length_30843_cov_37.208166	100.0		True
CONTIG	NODE_73_length_30843_cov_37.208166	30843	correct
CONTIG	NODE_74_length_30450_cov_84.001119	30450	unaligned
1247975	1277651	29667	1	GCF_000006765.1_ASM676v1_genomic_NC_002516.2	NODE_75_length_29719_cov_3.450243	99.3		True
CONTIG	NODE_75_length_29719_cov_3.450243	29719	correct
